1,6/12/14,17:00:00,Brazil,Croatia,3,1,Arena de Sao Paulo,Sao Paulo
2,6/13/14,13:00:00,Mexico,Cameroon,1,0,Estadio das Dunas,Natal
3,6/13/14,16:00:00,Spain,Netherlands,1,5,Arena Fonte Nova,Salvador
4,6/13/14,18:00:00,Chile,Australia,3,1,Arena Pantanal,Cuiaba
5,6/14/14,13:00:00,Columbia,Greece,3,0,Estadio Mineirao,Belo Horizonte
6,6/14/14,22:00:00,Ivory Coast,Japan,2,1,Arena Pernamuco,Recife
7,6/14/14,16:00:00,Uruguay,Costa Rica,1,3,Estadio Castelao,Fortaleza
8,6/14/14,18:00:00,England,Italy,1,2,Arena Amazonia,Manaus
9,6/15/14,13:00:00,Switzerland,Ecuador,2,1,Estadio Nacional,Brasilia
10,6/15/14,16:00:00,France,Honduras,3,0,Estadio Beira-Rio,Porto Alegre
11,6/15/14,19:00:00,Argentina,Bosnia & Herzegovina,2,1,Estadio do Maracana,Rio De Janerio
12,6/16/14,16:00:00,Iran,Nigeria,0,0,Arena Da Baixada,Curitiba
13,6/16/14,13:00:00,Germany,Portugal,4,0,Arena Fonte Nova,Salvador
14,6/16/14,19:00:00,Ghana,USA,1,2,Estadio das Dunas,Natal
15,6/17/14,13:00:00,Belgium,Algeria,2,1,Estadio Mineirao,Belo Horizonte
16,6/17/14,18:00:00,Russia,South Korea,1,1,Arena Pantanal,Cuiaba
17,6/17/14,16:00:00,Brazil,Mexico,0,0,Estadio Castelao,Fortaleza
18,6/18/14,18:00:00,Cameroon,Croatia,0,4,Arena Amazonia,Manaus
19,6/18/14,16:00:00,Spain,Chile,0,2,Estadio do Maracana,Rio De Janerio
20,6/18/14,13:00:00,Australia,Netherlands,2,3,Estadio Beira-Rio,Porto Alegre
21,6/19/14,13:00:00,Columbia,Ivory Coast,2,1,Estadio Nacional,Brasilia
22,6/19/14,19:00:00,Japan,Greece,0,0,Estadio das Dunas,Natal
23,6/19/14,16:00:00,Uruguay,England,2,1,Arena de Sao Paulo,Sao Paulo
24,6/20/14,13:00:00,Italy,Costa Rica,0,1,Arena Pernamuco,Recife
